iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.172728460215,0.172098714993,0.169260912789,0.563250883392,0.56302996043,0.568521031208,0.485856905158,0.48016139879,0.471760797342,0.16310964
1,0.144742849034,0.140227003317,0.146477304568,0.653427561837,0.672131147541,0.647218453189,0.747944078947,0.76248976249,0.736842105263,0.213013748
2,0.0962007186409,0.0933406921865,0.094662170569,0.741766784452,0.743923120407,0.745364088648,0.775690607735,0.779132130668,0.774890043982,0.263955447
3,0.0657019672848,0.0659895724512,0.0644724384297,0.827703180212,0.823629169022,0.830845771144,0.833901076441,0.829508196721,0.83137962128,0.330036677
4,0.061524947671,0.0643031886408,0.0620577281756,0.840565371025,0.830977953646,0.843509724107,0.870255348516,0.863905325444,0.868939393939,0.376654515
5,0.0403666033628,0.0442002780803,0.0414393660551,0.895123674912,0.882419446015,0.88828584351,0.906454866364,0.895477386935,0.897297297297,0.4220502
6,0.0338217681411,0.0391489088306,0.0374258466092,0.916325088339,0.899943470888,0.90592492085,0.924777636595,0.910015251652,0.912751677852,0.471592402
7,0.0336937347321,0.039153287313,0.0364239624954,0.910954063604,0.892594686263,0.909090909091,0.922982885086,0.907497565725,0.918853451756,0.55962208
8,0.0322833780004,0.0360627412681,0.0357231064769,0.91519434629,0.905596382137,0.903663500678,0.922859346876,0.913605794102,0.909090909091,0.611282358
9,0.0309898573337,0.0359471950285,0.0342801114884,0.92,0.910684002261,0.910900045228,0.930329886755,0.922473012758,0.920081135903,0.662340193
10,0.0292624452506,0.0338108292251,0.0328006744088,0.922685512367,0.912379875636,0.912709181366,0.930698086912,0.921756688541,0.919348098621,0.710834377
11,0.027783393547,0.0322779848982,0.0317301763761,0.925229681979,0.914641040136,0.914518317503,0.934228521696,0.924838227974,0.922636103152,0.774239413
12,0.0265200232353,0.0313025635564,0.0310492296127,0.931731448763,0.918032786885,0.91723202171,0.939237639955,0.926952141058,0.923718215923,0.835194693
13,0.0260009307737,0.0306115958105,0.0304486032911,0.931448763251,0.915206331261,0.918136589778,0.940116063712,0.926326129666,0.925971370143,0.914614551
14,0.0252926756007,0.0301313079585,0.0303899741218,0.93371024735,0.92085924251,0.91723202171,0.940850044142,0.929292929293,0.923334729786,0.975581913
15,0.0249080580396,0.0293811835946,0.0293369403004,0.933003533569,0.921424533635,0.916779737675,0.941234812794,0.931358024691,0.924466338259,1.076202258
16,0.0238383060595,0.0285036700886,0.0289285525564,0.937385159011,0.925946862634,0.92039800995,0.944728633812,0.934663341646,0.927152317881,1.180819072
17,0.0230826964248,0.0275844968428,0.0281440878982,0.938374558304,0.926512153759,0.922659430122,0.945622349713,0.935387673956,0.929600658707,1.303477713
18,0.0221299378823,0.0266915958997,0.0273739829977,0.945300353357,0.928773318259,0.925373134328,0.951546262677,0.937250996016,0.931620389557,1.404096714
19,0.0218935926049,0.026627056244,0.0271418484056,0.942614840989,0.924816280384,0.923563998191,0.94964028777,0.934385791811,0.930766079476,1.487226227
20,0.0213271338306,0.0262028130039,0.0264689091937,0.947137809187,0.932165065008,0.928086838535,0.952991452991,0.94,0.933942667221,1.584097181
21,0.021239011763,0.0257371573583,0.0264188717873,0.94332155477,0.927642736009,0.927182270466,0.950130580774,0.936633663366,0.933935166188,1.643173505
22,0.0206918611525,0.0256855947877,0.0256203148977,0.946007067138,0.931599773884,0.926729986431,0.95221416062,0.939650872818,0.93305785124,1.718177135
23,0.0202783065452,0.0252386222639,0.0252524954632,0.946572438163,0.931599773884,0.930348258706,0.952820768847,0.939830929886,0.936416184971,1.841213624
24,0.0198878984555,0.0248993653075,0.0247818808361,0.946855123675,0.932165065008,0.93170511081,0.953070394408,0.940239043825,0.937629078893,1.934440101
25,0.0195425806929,0.0246968550344,0.0242451575827,0.947703180212,0.932730356133,0.931252826775,0.953726863432,0.940589116326,0.937241948803,2.006007261
26,0.0192906330729,0.024226523874,0.0247637374472,0.94925795053,0.932165065008,0.932609678878,0.955108165562,0.940179461615,0.938353330575,2.085472566
27,0.0190794108295,0.0245635246209,0.0241486381098,0.948692579505,0.933860938383,0.930800542741,0.954607977992,0.941704035874,0.936698386429,2.159060042
28,0.0187733189404,0.0243728220365,0.0244748592477,0.95038869258,0.932730356133,0.932157394844,0.956108540703,0.940707523667,0.937862468931,2.231279192
29,0.0184331056645,0.0241249444179,0.0242446255945,0.950530035336,0.932165065008,0.931252826775,0.956206206206,0.940239043825,0.936877076412,2.310271755
30,0.0183293383328,0.024230428969,0.0243391721888,0.949823321555,0.931034482759,0.929443690638,0.955608353132,0.939363817097,0.935430463576,2.390310178
40,0.0167722836782,0.0235675857478,0.0238647156088,0.95222614841,0.936122102883,0.930800542741,0.957675932883,0.943697060289,0.936855138258,3.124441952
50,0.0155939636006,0.0231565252219,0.0226935314608,0.956749116608,0.937252685133,0.937584803256,0.961644522437,0.94463840399,0.942880794702,3.871397169
60,0.0146926171994,0.0226906923047,0.021789424827,0.960706713781,0.936687394008,0.940750791497,0.965057817999,0.944111776447,0.94566569888,4.619186165
70,0.0139608842133,0.0221674998292,0.0216153296804,0.964664310954,0.938948558508,0.942559927635,0.968632371393,0.946215139442,0.947368421053,5.235190095
80,0.0135246504163,0.0220865339086,0.0213101339411,0.964664310954,0.938383267383,0.944369063772,0.968600854057,0.945690084704,0.949026108579,5.879334373
90,0.0129490165675,0.0220504423898,0.0212462629779,0.964664310954,0.937252685133,0.947535052013,0.968561368209,0.944360902256,0.951946975973,6.596470788
100,0.0123048272571,0.0220889213546,0.0209883208512,0.965512367491,0.933860938383,0.94617819991,0.969400551793,0.941645885287,0.950683796104,7.176952096
110,0.011853960112,0.0219278604592,0.0210628375218,0.968197879859,0.936122102883,0.947082767978,0.971723011185,0.94335839599,0.951472418084,7.759201937
