iterations,fitness,time,fevals
0,278.0,0.002742125,652
10,280.0,0.004880443,1196
20,287.0,0.006453329,1749
30,292.0,0.007865369,2297
40,292.0,0.009388962,2852
50,288.0,0.010670517,3398
60,290.0,0.011851829,3946
70,289.0,0.01291744,4486
80,287.0,0.013969014,5036
90,289.0,0.015142607,5580
100,291.0,0.016303558,6125
110,296.0,0.017458224,6670
120,293.0,0.018791947,7215
130,296.0,0.020451717,7763
140,289.0,0.022049397,8309
150,291.0,0.023143806,8858
160,291.0,0.024389228,9410
170,293.0,0.025616832,9959
180,295.0,0.026815814,10503
190,301.0,0.027925113,11050
200,295.0,0.029107235,11599
210,295.0,0.030285602,12146
220,297.0,0.031456995,12697
230,295.0,0.032625403,13245
240,297.0,0.033940534,13788
250,295.0,0.03528167,14339
260,295.0,0.036969416,14889
270,297.0,0.038135016,15433
280,297.0,0.039904195,15996
290,301.0,0.041224491,16550
300,301.0,0.042312302,17107
310,301.0,0.043332198,17647
320,301.0,0.044476007,18203
330,299.0,0.045603194,18752
340,301.0,0.046724278,19300
350,299.0,0.047880308,19844
360,301.0,0.049059292,20389
370,297.0,0.050198825,20932
380,299.0,0.05134421,21483
390,299.0,0.052502349,22035
400,301.0,0.053683787,22588
410,301.0,0.05486094,23131
420,299.0,0.056331495,23684
430,301.0,0.058236028,24228
440,301.0,0.059311549,24771
450,303.0,0.060642258,25319
460,303.0,0.061998617,25871
470,305.0,0.063345485,26421
480,303.0,0.064982314,26970
490,305.0,0.066150359,27511
500,307.0,0.067270347,28061
510,307.0,0.068402303,28605
520,307.0,0.069540061,29154
530,307.0,0.070700271,29708
540,311.0,0.071984267,30248
550,309.0,0.073201917,30794
560,307.0,0.074582653,31346
570,305.0,0.076380694,31896
580,307.0,0.077476137,32435
590,307.0,0.078576699,32983
600,307.0,0.079606909,33526
610,309.0,0.080638562,34074
620,307.0,0.081669196,34625
630,309.0,0.082671765,35167
640,307.0,0.083683382,35714
650,308.0,0.084705328,36266
660,305.0,0.086053519,36812
670,301.0,0.087375156,37356
680,303.0,0.088729935,37907
690,299.0,0.089971406,38464
700,299.0,0.091217207,39009
710,301.0,0.092803001,39560
720,301.0,0.094306891,40105
730,299.0,0.095596225,40657
740,301.0,0.097025681,41221
750,301.0,0.098316923,41761
760,301.0,0.099629075,42310
770,301.0,0.100987667,42857
780,301.0,0.102037829,43411
790,303.0,0.103096755,43953
800,301.0,0.104375157,44497
810,301.0,0.105395973,45047
820,301.0,0.106601114,45587
830,303.0,0.107705171,46138
840,303.0,0.108681829,46681
850,303.0,0.109796338,47228
860,303.0,0.110837022,47770
870,303.0,0.112305896,48318
880,303.0,0.113827915,48867
890,303.0,0.115468009,49413
900,303.0,0.117109269,49959
910,303.0,0.118786111,50516
920,307.0,0.120623412,51058
930,307.0,0.122146787,51609
940,309.0,0.123633204,52159
950,307.0,0.125139258,52707
960,307.0,0.126765823,53259
970,305.0,0.128376628,53803
980,303.0,0.130206764,54346
990,305.0,0.131880211,54889
1000,303.0,0.133451008,55439
1010,304.0,0.134879902,55981
1020,305.0,0.136363659,56533
1030,308.0,0.137452342,57083
1040,307.0,0.138529612,57633
1050,303.0,0.139614581,58179
1060,305.0,0.140670531,58718
1070,305.0,0.141736425,59267
1080,307.0,0.142764209,59814
1090,307.0,0.143853089,60365
1100,307.0,0.14518832,60917
1110,305.0,0.146533889,61464
1120,307.0,0.147867554,62010
1130,307.0,0.149444769,62555
1140,309.0,0.150988654,63100
1150,307.0,0.152128646,63652
1160,305.0,0.153234141,64201
1170,305.0,0.154230797,64746
1180,307.0,0.15526153,65296
1190,309.0,0.15625403,65849
1200,305.0,0.157260026,66393
1210,303.0,0.158274407,66932
1220,305.0,0.159256069,67473
1230,303.0,0.160429065,68024
1240,307.0,0.161449618,68572
1250,305.0,0.162487796,69117
1260,303.0,0.163539162,69661
1270,303.0,0.16459435,70209
1280,303.0,0.165876273,70750
1290,305.0,0.167841411,71300
1300,305.0,0.16927508,71849
1310,307.0,0.17064531,72403
1320,303.0,0.171699341,72951
1330,307.0,0.173030718,73495
1340,305.0,0.174264075,74041
1350,305.0,0.175595942,74592
1360,303.0,0.177009261,75135
1370,299.0,0.178168328,75690
1380,303.0,0.179143865,76234
1390,301.0,0.180123134,76783
1400,301.0,0.181192941,77328
1410,299.0,0.182197149,77876
1420,303.0,0.183514499,78422
1430,303.0,0.185450883,78967
1440,303.0,0.187189957,79509
1450,305.0,0.188511351,80050
1460,301.0,0.189652076,80604
1470,301.0,0.190743446,81159
1480,303.0,0.191718165,81711
1490,301.0,0.192747393,82262
1500,301.0,0.193758406,82806
1510,305.0,0.19477494,83357
1520,301.0,0.195767227,83904
1530,301.0,0.196720816,84454
1540,299.0,0.197706054,84998
1550,301.0,0.198727769,85544
1560,301.0,0.199750016,86082
1570,299.0,0.201013758,86630
1580,303.0,0.202566267,87183
1590,297.0,0.204385358,87721
1600,297.0,0.206009747,88260
1610,299.0,0.207342712,88808
1620,299.0,0.208376492,89360
1630,301.0,0.209364695,89908
1640,299.0,0.210349533,90451
1650,299.0,0.21138159,90997
1660,299.0,0.212451965,91544
1670,297.0,0.213465681,92097
1680,293.0,0.214494881,92643
1690,299.0,0.215547052,93191
1700,297.0,0.216578788,93735
1710,299.0,0.217570949,94276
1720,301.0,0.21873208,94828
1730,301.0,0.2199495,95382
1740,301.0,0.221564015,95925
1750,303.0,0.222864831,96469
1760,300.0,0.223906978,97010
1770,302.0,0.224883642,97556
1780,304.0,0.225844473,98107
1790,304.0,0.226886114,98656
1800,304.0,0.227905061,99211
1810,306.0,0.229125668,99757
1820,306.0,0.23035673,100306
1830,307.0,0.231577305,100855
1840,306.0,0.233047399,101405
1850,308.0,0.234341219,101956
1860,306.0,0.235333903,102502
1870,308.0,0.236360109,103052
1880,306.0,0.237477691,103598
1890,308.0,0.239065386,104151
1900,308.0,0.240375948,104691
1910,308.0,0.241391974,105237
1920,308.0,0.242378942,105789
1930,308.0,0.243366637,106338
1940,310.0,0.244548288,106877
1950,312.0,0.245555848,107424
1960,312.0,0.246551952,107973
1970,312.0,0.247618986,108523
1980,310.0,0.248704926,109064
1990,310.0,0.249721659,109614
