iterations,fitness,time,fevals
0,80.0,0.000655739,556
10,74.0,0.001211941,1006
20,74.0,0.001685185,1467
30,74.0,0.002159195,1929
40,73.0,0.002640823,2388
50,75.0,0.003109307,2840
60,78.0,0.003572141,3298
70,76.0,0.003999369,3760
80,76.0,0.004364795,4216
90,83.0,0.004812742,4672
100,79.0,0.005280048,5125
110,79.0,0.005736832,5569
120,76.0,0.00622231,6035
130,76.0,0.006682215,6496
140,77.0,0.007147785,6954
150,76.0,0.007608782,7406
160,76.0,0.008072227,7853
170,76.0,0.008539931,8318
180,76.0,0.008947395,8764
190,77.0,0.009345012,9232
200,78.0,0.009809438,9691
210,78.0,0.010267092,10146
220,77.0,0.010690949,10603
230,77.0,0.011105422,11065
240,78.0,0.011487775,11511
250,78.0,0.011819555,11952
260,78.0,0.012141122,12409
270,78.0,0.012468481,12870
280,77.0,0.012802718,13320
290,78.0,0.013164442,13781
300,78.0,0.013521128,14243
310,78.0,0.013873104,14698
320,77.0,0.014222093,15150
330,75.0,0.014575318,15597
340,76.0,0.014931194,16050
350,76.0,0.015284636,16513
360,74.0,0.01563617,16967
370,75.0,0.015988414,17426
380,78.0,0.016387033,17889
390,78.0,0.016750501,18354
400,76.0,0.017101343,18816
410,77.0,0.017458663,19278
420,76.0,0.017813088,19724
430,77.0,0.018169711,20193
440,79.0,0.018524488,20651
450,77.0,0.018855986,21101
460,77.0,0.019200261,21561
470,77.0,0.019540825,22016
480,80.0,0.019883289,22474
490,76.0,0.020229198,22924
500,76.0,0.020572695,23380
510,77.0,0.0210088,23838
520,78.0,0.021428362,24294
530,77.0,0.02186323,24757
540,83.0,0.022288652,25226
550,84.0,0.022668673,25682
560,83.0,0.02306703,26137
570,83.0,0.023496401,26584
580,79.0,0.023893128,27042
590,78.0,0.024322318,27497
600,78.0,0.024698757,27942
610,79.0,0.025045935,28392
620,79.0,0.025551736,28848
630,78.0,0.025979812,29317
640,78.0,0.026422587,29775
650,78.0,0.026830303,30221
660,76.0,0.02721955,30692
670,79.0,0.027629775,31149
680,83.0,0.028052975,31588
690,85.0,0.028419022,32046
700,87.0,0.028772043,32504
710,88.0,0.029119417,32952
720,84.0,0.029513327,33414
730,86.0,0.029854404,33867
740,87.0,0.030185206,34322
750,86.0,0.030525804,34778
760,84.0,0.030862471,35228
770,81.0,0.031208905,35686
780,81.0,0.031551159,36155
790,83.0,0.031866361,36613
800,81.0,0.032197427,37064
810,82.0,0.032559127,37506
820,81.0,0.032910974,37961
830,81.0,0.033250464,38407
840,81.0,0.033586778,38868
850,81.0,0.033921967,39316
860,81.0,0.0343021,39761
870,83.0,0.034642552,40215
880,80.0,0.03497478,40677
890,80.0,0.035313204,41148
900,79.0,0.035645426,41607
910,80.0,0.035997341,42067
920,81.0,0.036350227,42527
930,80.0,0.036703666,42972
940,81.0,0.037055176,43419
950,78.0,0.037411221,43868
960,79.0,0.037774206,44326
970,77.0,0.038130044,44795
980,78.0,0.038489464,45254
990,77.0,0.038865241,45708
1000,76.0,0.039303469,46156
1010,76.0,0.039752578,46609
1020,79.0,0.040214103,47070
1030,80.0,0.040652292,47527
1040,79.0,0.041108409,47976
1050,78.0,0.041582071,48445
1060,75.0,0.042047268,48897
1070,76.0,0.04251302,49355
1080,75.0,0.042982136,49809
1090,76.0,0.043447366,50277
1100,77.0,0.043911926,50722
1110,77.0,0.044368692,51183
1120,79.0,0.044801918,51627
1130,81.0,0.045259873,52087
1140,82.0,0.045728684,52559
1150,84.0,0.046193175,53018
1160,83.0,0.046605701,53451
1170,83.0,0.047008164,53891
1180,84.0,0.047445857,54339
1190,83.0,0.047852085,54795
1200,82.0,0.048208169,55255
1210,81.0,0.048598613,55708
1220,80.0,0.04902294,56160
1230,76.0,0.049415047,56616
1240,77.0,0.049798506,57071
1250,78.0,0.050197528,57521
1260,77.0,0.050583477,57976
1270,79.0,0.05098361,58434
1280,78.0,0.051380074,58887
1290,77.0,0.051802772,59340
1300,77.0,0.052185909,59795
1310,75.0,0.0527039,60257
1320,77.0,0.053161254,60721
1330,76.0,0.053581866,61185
1340,77.0,0.053984774,61645
1350,77.0,0.054416245,62125
1360,76.0,0.054868375,62577
1370,76.0,0.055281461,63034
1380,81.0,0.055649316,63486
1390,76.0,0.055995969,63936
1400,75.0,0.056345872,64399
1410,75.0,0.056697686,64856
1420,76.0,0.057052107,65318
1430,76.0,0.057391732,65761
1440,77.0,0.057734442,66227
1450,80.0,0.058060998,66691
1460,78.0,0.058390103,67146
1470,78.0,0.058720021,67589
1480,76.0,0.05906487,68058
1490,77.0,0.05939705,68514
1500,79.0,0.059737534,68968
1510,77.0,0.060092158,69420
1520,76.0,0.060444692,69881
1530,76.0,0.060795682,70346
1540,76.0,0.061137744,70786
1550,78.0,0.061475677,71223
1560,78.0,0.061881881,71676
1570,78.0,0.062247444,72123
1580,83.0,0.062597203,72587
1590,80.0,0.062951307,73033
1600,80.0,0.063304362,73479
1610,79.0,0.063675947,73935
1620,79.0,0.064011179,74402
1630,80.0,0.064360329,74859
1640,79.0,0.064723531,75328
1650,76.0,0.065071561,75768
1660,77.0,0.065422993,76220
1670,77.0,0.065777631,76685
1680,78.0,0.066142032,77153
1690,78.0,0.066493509,77594
1700,80.0,0.066872385,78046
1710,80.0,0.067223103,78503
1720,82.0,0.067565324,78951
1730,76.0,0.067911346,79412
1740,81.0,0.068288008,79871
1750,79.0,0.068633471,80325
1760,83.0,0.068986253,80787
1770,84.0,0.069348621,81258
1780,82.0,0.06970616,81705
1790,79.0,0.070067504,82159
1800,79.0,0.0704407,82624
1810,79.0,0.070808927,83075
1820,77.0,0.071165706,83529
1830,78.0,0.071543813,83975
1840,79.0,0.071893502,84437
1850,79.0,0.072230578,84890
1860,79.0,0.072566545,85334
1870,81.0,0.072949082,85784
1880,81.0,0.073298788,86227
1890,81.0,0.073636068,86685
1900,80.0,0.073972296,87138
1910,79.0,0.074314701,87593
1920,78.0,0.074673208,88049
1930,78.0,0.075018524,88510
1940,79.0,0.075389759,88977
1950,78.0,0.075794539,89432
1960,79.0,0.076154945,89882
1970,77.0,0.076523209,90337
1980,78.0,0.07688986,90794
1990,78.0,0.077306685,91270
2000,77.0,0.077792994,91720
2010,77.0,0.078270591,92166
2020,77.0,0.078866511,92621
2030,78.0,0.079568198,93083
2040,75.0,0.080295746,93550
2050,75.0,0.081050686,94009
2060,78.0,0.08167605,94477
2070,77.0,0.082338031,94931
2080,78.0,0.083015855,95396
2090,76.0,0.083672041,95848
2100,78.0,0.084338915,96326
2110,77.0,0.084985754,96789
2120,76.0,0.085640673,97255
2130,75.0,0.086277345,97702
2140,76.0,0.08693728,98142
2150,77.0,0.087594291,98590
2160,77.0,0.088237021,99052
2170,75.0,0.088880882,99521
2180,76.0,0.089529152,99967
2190,76.0,0.090180695,100420
2200,76.0,0.090861726,100879
2210,76.0,0.091484781,101341
2220,78.0,0.092214474,101791
2230,77.0,0.092941282,102248
2240,76.0,0.093685784,102698
2250,85.0,0.094400526,103144
2260,79.0,0.095075751,103602
2270,79.0,0.095578801,104043
2280,80.0,0.096174652,104515
2290,81.0,0.096787341,104970
2300,79.0,0.097423364,105419
2310,79.0,0.098059376,105886
2320,80.0,0.098693552,106349
2330,79.0,0.099334485,106824
2340,80.0,0.099979664,107286
2350,78.0,0.100578954,107734
2360,79.0,0.101199883,108187
2370,79.0,0.101813739,108638
2380,79.0,0.102425673,109096
2390,83.0,0.103096121,109548
2400,83.0,0.103790129,110004
2410,81.0,0.104484203,110454
2420,81.0,0.105204353,110918
2430,80.0,0.105936583,111374
2440,81.0,0.106648546,111817
2450,81.0,0.107353865,112274
2460,81.0,0.108051464,112727
2470,81.0,0.108741569,113189
2480,79.0,0.1093985,113628
2490,80.0,0.110061491,114074
2500,80.0,0.110720346,114525
2510,81.0,0.111375984,114978
2520,81.0,0.112010839,115430
2530,83.0,0.112640725,115891
2540,81.0,0.113238137,116340
2550,82.0,0.11387673,116787
2560,81.0,0.114530916,117252
2570,83.0,0.115187993,117713
2580,81.0,0.11583369,118163
2590,82.0,0.11647284,118623
2600,80.0,0.117136279,119086
2610,81.0,0.117753203,119559
2620,81.0,0.118400289,120003
2630,82.0,0.119038101,120467
2640,80.0,0.119681136,120933
2650,80.0,0.120323633,121403
2660,80.0,0.120966204,121871
2670,79.0,0.121602086,122321
2680,80.0,0.122197939,122772
2690,80.0,0.122752488,123228
2700,80.0,0.123371581,123703
2710,75.0,0.12402447,124168
2720,81.0,0.124661005,124623
2730,82.0,0.12529527,125080
2740,83.0,0.125920055,125536
2750,83.0,0.126548879,125992
2760,84.0,0.127173291,126442
2770,83.0,0.127767706,126897
2780,82.0,0.128394652,127337
2790,82.0,0.129053515,127792
2800,82.0,0.129706533,128251
2810,82.0,0.130410337,128708
2820,82.0,0.131131791,129148
2830,81.0,0.131818271,129599
2840,80.0,0.132544538,130054
2850,81.0,0.133304966,130514
2860,82.0,0.134059017,130985
2870,82.0,0.134829784,131443
2880,83.0,0.135479888,131891
2890,83.0,0.136113429,132352
2900,83.0,0.13673698,132800
2910,84.0,0.137381921,133264
2920,86.0,0.138018777,133715
2930,85.0,0.138642966,134168
2940,85.0,0.139267834,134621
2950,82.0,0.13977002,135079
2960,84.0,0.140138465,135546
2970,83.0,0.140558136,136008
2980,83.0,0.140983422,136466
2990,84.0,0.141421756,136923
3000,85.0,0.141860545,137374
3010,84.0,0.142303577,137826
3020,83.0,0.142760556,138289
3030,83.0,0.143187278,138742
3040,80.0,0.14360049,139202
3050,81.0,0.144044101,139644
3060,81.0,0.144498166,140115
3070,81.0,0.144892848,140564
3080,84.0,0.145278195,141022
3090,86.0,0.145630938,141486
3100,84.0,0.145989188,141939
3110,81.0,0.146454896,142395
3120,80.0,0.146934406,142848
3130,80.0,0.147415116,143314
3140,78.0,0.147895117,143755
3150,77.0,0.148365447,144197
3160,76.0,0.148841493,144649
3170,77.0,0.149322225,145101
3180,77.0,0.149814384,145561
3190,78.0,0.150290969,146000
3200,81.0,0.150774233,146462
3210,82.0,0.151301699,146925
3220,80.0,0.15178843,147383
3230,79.0,0.152264853,147841
3240,80.0,0.152776276,148303
3250,80.0,0.153276653,148773
3260,79.0,0.153748718,149224
3270,78.0,0.154236886,149676
3280,77.0,0.154724398,150133
3290,77.0,0.155312187,150599
3300,78.0,0.155936731,151071
