iterations,fitness,time,fevals
0,75.0,0.000511213999999,650
10,74.0,0.000986401,1195
20,76.0,0.001420099,1740
30,73.0,0.001871899,2292
40,74.0,0.002294303,2832
50,74.0,0.002704783,3383
60,74.0,0.00311467,3938
70,73.0,0.003519857,4485
80,75.0,0.003910545,5033
90,74.0,0.004301392,5578
100,73.0,0.004690836,6129
110,73.0,0.005073867,6676
120,74.0,0.005572218,7223
130,74.0,0.006011579,7771
140,73.0,0.006468498,8311
150,73.0,0.006927407,8863
160,75.0,0.007387829,9419
170,75.0,0.0077891,9973
180,75.0,0.008234983,10519
190,76.0,0.008640587,11071
200,76.0,0.009113351,11621
210,76.0,0.009571585,12171
220,76.0,0.010031449,12722
230,75.0,0.010410108,13265
240,75.0,0.010849769,13817
250,76.0,0.011331887,14366
260,76.0,0.011815159,14920
270,76.0,0.012272981,15463
280,75.0,0.01277414,16009
290,75.0,0.013206772,16553
300,75.0,0.013652579,17106
310,75.0,0.013994482,17653
320,75.0,0.014315522,18204
330,75.0,0.014666653,18752
340,75.0,0.015021379,19302
350,75.0,0.015424695,19846
360,74.0,0.015819997,20394
370,74.0,0.016176134,20941
380,74.0,0.016552801,21483
390,75.0,0.016939517,22031
400,74.0,0.017336848,22576
410,75.0,0.017725531,23124
420,76.0,0.018138711,23681
430,76.0,0.018540079,24220
440,75.0,0.018929233,24774
450,76.0,0.019339505,25318
460,76.0,0.01971646,25872
470,76.0,0.020109854,26419
480,76.0,0.020497993,26970
490,76.0,0.02089389,27520
500,76.0,0.021222256,28065
510,77.0,0.021560561,28615
520,76.0,0.021870104,29164
530,75.0,0.022188512,29716
540,76.0,0.022511047,30254
550,75.0,0.022835319,30809
560,75.0,0.023157981,31359
570,76.0,0.023464526,31901
580,76.0,0.023768591,32448
590,75.0,0.024078489,32994
600,75.0,0.024426519,33540
610,75.0,0.024782847,34084
620,76.0,0.025195317,34627
630,76.0,0.025597003,35172
640,77.0,0.025969166,35717
650,77.0,0.026349413,36259
660,76.0,0.026768993,36809
670,76.0,0.027186448,37352
680,75.0,0.027584388,37900
690,77.0,0.02797674,38446
700,76.0,0.028413147,38994
710,76.0,0.028848978,39548
720,76.0,0.029263101,40102
730,76.0,0.029685425,40652
740,76.0,0.030068828,41190
750,78.0,0.030448858,41739
760,76.0,0.030856841,42291
770,79.0,0.03126174,42834
780,76.0,0.031678216,43384
790,77.0,0.032109492,43935
800,77.0,0.032517116,44490
810,76.0,0.03289854,45038
820,76.0,0.033256167,45588
830,77.0,0.033687357,46137
840,77.0,0.034109433,46689
850,77.0,0.034484125,47233
860,76.0,0.034868919,47784
870,76.0,0.035320411,48328
880,76.0,0.035682998,48875
890,76.0,0.036125612,49429
900,77.0,0.036496938,49985
910,77.0,0.036923505,50531
920,76.0,0.037339304,51078
930,76.0,0.037733519,51617
940,76.0,0.038176984,52170
950,77.0,0.038558829,52717
960,76.0,0.038914293,53268
970,77.0,0.039261796,53822
980,77.0,0.039651378,54363
990,76.0,0.040052351,54908
1000,76.0,0.040365589,55461
1010,76.0,0.040728977,56006
1020,76.0,0.041057706,56549
1030,75.0,0.041389302,57092
1040,75.0,0.041704862,57646
1050,75.0,0.042037728,58191
1060,76.0,0.042357445,58737
1070,76.0,0.04268192,59286
1080,76.0,0.043006007,59834
1090,76.0,0.043322154,60379
1100,76.0,0.043695661,60925
1110,76.0,0.044063417,61470
1120,75.0,0.044528944,62021
1130,76.0,0.044887527,62573
1140,76.0,0.04527191,63118
1150,75.0,0.045640212,63664
1160,75.0,0.046047989,64210
1170,76.0,0.046437947,64762
1180,75.0,0.046820224,65306
1190,75.0,0.04717783,65854
1200,75.0,0.047548631,66399
1210,76.0,0.047971377,66950
1220,75.0,0.04838251,67496
1230,75.0,0.048763198,68044
1240,76.0,0.049103456,68600
1250,78.0,0.049546691,69154
1260,79.0,0.049998284,69702
1270,78.0,0.050493221,70249
1280,78.0,0.050898513,70797
1290,78.0,0.051369189,71336
1300,77.0,0.051817831,71884
1310,77.0,0.052163901,72430
1320,78.0,0.052575512,72981
1330,79.0,0.052997386,73519
1340,79.0,0.053377449,74060
1350,77.0,0.053771249,74608
1360,78.0,0.054157112,75155
1370,78.0,0.054535026,75701
1380,78.0,0.054919,76246
1390,78.0,0.055290888,76800
1400,77.0,0.055652444,77338
1410,78.0,0.056047148,77894
1420,77.0,0.056426244,78443
1430,78.0,0.056834577,78990
1440,77.0,0.05720936,79540
1450,78.0,0.05763021,80075
1460,77.0,0.0580036,80619
1470,79.0,0.058461779,81178
1480,78.0,0.058921711,81722
1490,77.0,0.059358122,82277
1500,78.0,0.059777366,82826
1510,77.0,0.060243082,83372
1520,79.0,0.06061242,83922
1530,80.0,0.061055594,84475
1540,79.0,0.061451236,85025
1550,79.0,0.061845877,85575
1560,79.0,0.062294396,86121
1570,80.0,0.062774019,86676
1580,80.0,0.063211267,87229
1590,78.0,0.063728329,87784
1600,78.0,0.064122946,88326
1610,78.0,0.06452981,88868
1620,79.0,0.064922294,89416
1630,78.0,0.065316528,89968
1640,78.0,0.065689517,90525
1650,79.0,0.066097863,91072
1660,77.0,0.06654687,91617
1670,78.0,0.066897443,92167
1680,78.0,0.067227223,92718
1690,78.0,0.067547533,93266
1700,79.0,0.067856258,93816
1710,79.0,0.068200341,94365
1720,77.0,0.068582665,94918
1730,78.0,0.068998527,95475
1740,79.0,0.069396221,96017
1750,79.0,0.069802455,96572
1760,80.0,0.070195935,97124
1770,80.0,0.070548638,97674
1780,80.0,0.070975709,98217
1790,79.0,0.071335413,98763
1800,80.0,0.071707918,99318
1810,80.0,0.07211531,99868
1820,79.0,0.072521706,100412
1830,79.0,0.072938752,100947
1840,78.0,0.07328184,101496
1850,79.0,0.07358997,102037
1860,79.0,0.07390323,102579
1870,79.0,0.074207143,103129
1880,79.0,0.074506043,103670
1890,80.0,0.07480938,104222
1900,79.0,0.07510867,104770
1910,79.0,0.075423179,105318
1920,78.0,0.075734677,105865
1930,78.0,0.076049131,106402
1940,77.0,0.076376247,106947
1950,79.0,0.076699574,107492
1960,77.0,0.077059382,108041
1970,79.0,0.077432914,108590
1980,79.0,0.077825914,109142
1990,78.0,0.078250174,109689
2000,77.0,0.078634647,110235
2010,79.0,0.079008386,110787
2020,78.0,0.079395386,111334
2030,79.0,0.079804243,111887
2040,78.0,0.080145369,112434
2050,78.0,0.080495519,112989
2060,79.0,0.080828781,113531
2070,78.0,0.081168763,114082
2080,77.0,0.081516588,114634
2090,79.0,0.081858902,115177
2100,77.0,0.082196998,115727
2110,77.0,0.082521004,116281
2120,78.0,0.082837425,116826
2130,78.0,0.08314601,117374
2140,79.0,0.083460041,117925
2150,79.0,0.083797023,118470
2160,80.0,0.084142286,119016
2170,80.0,0.084479049,119569
2180,79.0,0.084823223,120116
2190,78.0,0.085179459,120662
2200,78.0,0.085527666,121208
2210,78.0,0.085849614,121750
2220,80.0,0.086172721,122293
2230,79.0,0.086502391,122835
2240,79.0,0.086887595,123378
2250,79.0,0.087296178,123931
2260,79.0,0.087669955,124472
2270,79.0,0.088057999,125017
2280,79.0,0.088441632,125561
2290,79.0,0.088760851,126102
2300,79.0,0.089123448,126650
2310,80.0,0.089485208,127190
2320,79.0,0.089853227,127732
2330,79.0,0.090243052,128279
2340,79.0,0.09066346,128822
2350,79.0,0.091122491,129369
2360,78.0,0.091584574,129916
2370,79.0,0.092014373,130463
2380,80.0,0.092439216,131009
2390,79.0,0.092944201,131550
2400,80.0,0.093341223,132098
2410,79.0,0.093745234,132647
2420,79.0,0.094115282,133197
2430,79.0,0.094485267,133746
2440,79.0,0.094915387,134297
2450,79.0,0.095281764,134841
2460,79.0,0.09566046,135396
2470,80.0,0.096028253,135946
2480,79.0,0.096396195,136493
2490,80.0,0.096793285,137040
2500,82.0,0.097175002,137589
2510,80.0,0.097532217,138137
2520,81.0,0.097920272,138676
2530,79.0,0.098255362,139224
2540,81.0,0.098611189,139765
2550,81.0,0.098977689,140315
2560,80.0,0.099335077,140858
2570,80.0,0.099670074,141406
2580,80.0,0.100054732,141951
2590,80.0,0.10036024,142499
2600,81.0,0.100677656,143044
2610,81.0,0.101003063,143583
2620,79.0,0.101333524,144138
2630,79.0,0.101647471,144677
2640,79.0,0.10196125,145222
2650,80.0,0.102275379,145777
2660,79.0,0.102656942,146320
2670,79.0,0.103030613,146875
2680,80.0,0.103469888,147419
2690,80.0,0.103846428,147965
2700,79.0,0.104269485,148509
2710,79.0,0.104635487,149056
2720,79.0,0.105019627,149600
2730,79.0,0.105394006,150142
2740,79.0,0.105781409,150687
2750,79.0,0.106229088,151237
2760,79.0,0.106619096,151788
2770,80.0,0.107023681,152334
2780,80.0,0.107415696,152880
2790,80.0,0.107815177,153433
2800,80.0,0.10820627,153984
2810,80.0,0.108597065,154525
2820,79.0,0.108983742,155078
2830,79.0,0.109370079,155624
2840,80.0,0.109772361,156173
2850,80.0,0.110176563,156715
2860,79.0,0.110627838,157260
2870,80.0,0.111032284,157800
2880,79.0,0.111442568,158347
2890,79.0,0.111865901,158890
2900,78.0,0.112305545,159442
2910,79.0,0.112657594,159995
2920,80.0,0.113003807,160549
2930,78.0,0.113387871,161095
2940,79.0,0.113824836,161655
2950,79.0,0.114255864,162202
2960,78.0,0.114650029,162759
2970,78.0,0.115054303,163310
2980,77.0,0.115471116,163860
2990,78.0,0.11591767,164406
3000,79.0,0.116322127,164950
3010,78.0,0.116766948,165495
3020,78.0,0.117234201,166044
3030,78.0,0.117665396,166596
3040,78.0,0.118174016,167137
3050,78.0,0.118622341,167684
3060,78.0,0.119108706,168233
3070,81.0,0.11961234,168786
3080,79.0,0.120056563,169336
3090,78.0,0.120468981,169880
3100,79.0,0.120874735,170426
3110,80.0,0.121241827,170976
3120,80.0,0.121639385,171521
3130,80.0,0.122021464,172066
3140,80.0,0.122368176,172604
3150,79.0,0.122757594,173152
3160,79.0,0.123152355,173704
3170,80.0,0.123520177,174262
3180,81.0,0.123956488,174811
3190,81.0,0.12431232,175355
3200,81.0,0.124697011,175904
3210,81.0,0.125093365,176461
3220,81.0,0.125480652,177011
3230,82.0,0.125828795,177554
3240,82.0,0.126241061,178108
3250,82.0,0.126602857,178647
3260,82.0,0.126969152,179189
3270,82.0,0.127340127,179738
3280,81.0,0.127671319,180293
3290,81.0,0.128038887,180851
3300,82.0,0.128402124,181398
3310,81.0,0.128731305,181952
3320,82.0,0.12909181,182497
3330,82.0,0.129433729,183042
3340,82.0,0.129798149,183595
3350,81.0,0.130158769,184145
3360,81.0,0.130505647,184688
3370,81.0,0.130887298,185230
3380,82.0,0.131285491,185786
3390,81.0,0.131657324,186334
3400,81.0,0.132043321,186879
3410,81.0,0.132405241,187423
3420,81.0,0.132773591,187978
3430,81.0,0.133186296,188531
3440,81.0,0.13355926,189078
3450,81.0,0.133953257,189621
3460,81.0,0.134336812,190176
3470,81.0,0.134730241,190727
3480,80.0,0.13512878,191272
3490,79.0,0.135519156,191817
3500,80.0,0.135893026,192367
3510,80.0,0.13627935,192921
3520,80.0,0.136676941,193466
3530,80.0,0.137071303,194021
3540,80.0,0.137450763,194574
3550,80.0,0.137871279,195121
3560,80.0,0.13826046,195667
3570,79.0,0.138566601,196216
3580,79.0,0.13888069,196767
3590,80.0,0.139199728,197313
3600,80.0,0.139550032,197858
3610,80.0,0.139978791,198406
3620,80.0,0.140383256,198958
3630,81.0,0.140766802,199513
3640,80.0,0.141117276,200056
3650,80.0,0.141521489,200599
