iterations,fitness,time
0,2878.00427727,0.000500511
10,3128.35575178,0.001027192
20,3303.11880944,0.001608059
30,3255.63186533,0.002101125
40,3256.26229288,0.002591889
50,3455.32734282,0.00308975
60,3414.35522145,0.003604494
70,3438.56112949,0.004102812
80,3374.53767682,0.004681222
90,3466.50775455,0.005202417
100,3443.18079213,0.005766393
110,3373.56035894,0.006283659
120,3486.22994953,0.006798343
130,3364.7893615,0.007337787
140,3549.34510473,0.007861659
150,3330.34056876,0.008456508
160,3334.41719354,0.009056851
170,3409.42806806,0.009590839
180,3578.89877295,0.010144149
190,3387.01384555,0.010633212
200,3477.26846754,0.0111603
210,3472.03433516,0.011646819
220,3458.81417807,0.012139443
230,3430.13446513,0.012682941
240,3499.27106835,0.013230633
250,3376.84401909,0.013729731
260,3491.20538769,0.014262183
270,3479.63890868,0.014858816
280,3438.13291915,0.015408648
290,3431.69777191,0.015929216
300,3410.24454489,0.016525344
310,3412.06158222,0.017132043
320,3492.20600964,0.017575356
330,3478.57722132,0.0180045
340,3535.1732927,0.018506667
350,3546.30574862,0.019075981
360,3486.67894428,0.019605517
370,3425.22168824,0.020212949
380,3470.80042797,0.020742379
390,3587.75840214,0.021262921
400,3583.98500259,0.021753768
410,3566.41096435,0.02222382
420,3575.49502807,0.022714947
430,3494.27705675,0.02323391
440,3533.75227261,0.023763175
450,3640.52657051,0.024280018
460,3414.20817464,0.024774957
470,3443.12198573,0.025216664
480,3397.95869858,0.025672487
490,3543.5696066,0.026129389
500,3614.02915599,0.026583786
510,3527.02992961,0.027089669
520,3508.96072324,0.02760074
530,3469.21878196,0.028092118
540,3528.23527682,0.028651907
550,3544.47259069,0.029151097
560,3471.03758976,0.029649375
570,3490.91404638,0.030128659
580,3612.16130874,0.030616365
590,3362.74916753,0.031145909
600,3301.62772789,0.031672944
610,3361.69564298,0.032221007
620,3431.22797669,0.032762375
630,3326.83203642,0.033246686
640,3394.96719498,0.03376784
650,3380.91397284,0.034307454
660,3325.84758889,0.034913407
670,3312.26630513,0.0355131
680,3300.86468863,0.036162794
690,3226.04055671,0.036830281
700,3292.99776136,0.037439956
710,3322.15504343,0.03805722
720,3373.47083297,0.038637047
