iterations,fitness,time
0,3030.49172922,0.0005437
10,3198.67886086,0.001074836
20,3139.35039798,0.001636182
30,3371.57347391,0.002206323
40,3314.63134007,0.002757769
50,3320.62030089,0.003339219
60,3306.40847114,0.003901781
70,3428.20634121,0.004414411
80,3376.02066723,0.005095321
90,3372.59835819,0.005828921
100,3342.6181319,0.006601851
110,3359.36614865,0.00713153
120,3366.32097858,0.007686362
130,3348.68531132,0.00822058
140,3419.24133535,0.008795772
150,3301.78395729,0.009350258
160,3368.85699864,0.009911399
170,3424.84895981,0.010493037
180,3336.83410393,0.011068169
190,3408.27464384,0.011645526
200,3344.77317192,0.012207047
210,3305.85469044,0.012824971
220,3179.5100235,0.013497392
230,3300.19488588,0.014157831
240,3282.71315805,0.014791538
250,3231.94662833,0.015430338
260,3437.08877995,0.016130623
270,3393.56320002,0.016664795
280,3287.94640236,0.0171922
290,3269.32642988,0.017716864
300,3281.07839048,0.018253846
310,3314.86996811,0.018823714
320,3352.348457,0.019428055
330,3258.49167599,0.019984419
340,3313.9453247,0.020552442
350,3340.95407675,0.02102514
360,3346.80650984,0.02149466
370,3389.88936421,0.021959027
380,3487.95237964,0.022427505
390,3354.96382927,0.022957974
400,3502.79763871,0.023445409
410,3472.30915535,0.024001148
420,3506.72230373,0.024614017
430,3335.04182607,0.025214297
440,3350.03662117,0.025724746
450,3311.36540685,0.026216845
460,3424.70033004,0.026717958
470,3335.89402784,0.027201228
480,3224.62752685,0.027673796
490,3448.61648219,0.028199211
500,3408.21163809,0.028691001
510,3524.00806775,0.029210119
520,3465.47770129,0.029764806
530,3316.17812785,0.030295597
540,3409.2126055,0.030743448
550,3336.72907644,0.03118789
560,3369.47182075,0.031707003
570,3446.99222884,0.032242244
580,3416.14245598,0.032792868
590,3448.95291892,0.033324449
600,3397.21385157,0.033887801
610,3509.80656456,0.034444585
620,3585.02253772,0.035020843
630,3515.75741018,0.035572653
640,3578.72368318,0.036136429
650,3430.04339021,0.036679078
660,3508.80068276,0.037234901
670,3561.55291067,0.037760669
680,3564.08430291,0.038320373
690,3611.59376731,0.038872916
700,3502.77195268,0.03942295
710,3458.36095831,0.039991604
720,3456.29563875,0.040557854
730,3509.80088729,0.041111481
740,3610.63488571,0.041694402
750,3517.67155744,0.042298563
760,3321.23860371,0.042887971
770,3398.37180975,0.043451445
780,3491.93252336,0.044066607
790,3422.87883765,0.044721293
800,3494.84305632,0.045368979
810,3145.65378239,0.046069206
820,3299.14558306,0.046609166
830,3329.11116869,0.047145798
840,3399.4484059,0.047679868
850,3488.52488376,0.048226368
860,3518.72304218,0.04880775
870,3496.65849614,0.049406791
880,3455.10522543,0.049998784
890,3480.54579901,0.050563208
900,3564.65915511,0.05112317
910,3393.30151737,0.051709959
920,3579.09771313,0.052296833
930,3425.40828103,0.052874984
940,3464.47327713,0.053442619
950,3559.39144375,0.053970188
960,3413.70073264,0.054559881
970,3465.05956318,0.055157867
980,3550.04783367,0.055762783
990,3457.32064498,0.056448654
1000,3397.8652186,0.087737511
1010,3653.63885035,0.088171708
1020,3475.21560983,0.08877408
1030,3554.52366769,0.089237758
1040,3665.0886969,0.090535017
1050,3482.87066369,0.0909771
1060,3478.12665044,0.091563942
1070,3595.46326244,0.092068712
1080,3394.52904777,0.092495719
1090,3354.5528205,0.09292558
1100,3486.56270937,0.093332158
1110,3469.02371595,0.093768776
1120,3569.28020893,0.094203914
1130,3543.92193878,0.094738242
1140,3549.12991076,0.095243066
1150,3583.74335353,0.095783977
1160,3479.9360922,0.096180341
1170,3595.35464934,0.096667654
1180,3430.44904983,0.09716759
1190,3497.24701522,0.09765874
1200,3473.97206282,0.098114911
1210,3471.46420294,0.098491884
1220,3346.14136157,0.098927612
1230,3437.00959283,0.099430772
1240,3450.44157282,0.099909812
1250,3331.95633099,0.100366299
1260,3394.84705485,0.100742804
1270,3332.63485398,0.101154032
1280,3313.23840577,0.101539931
1290,3339.28531586,0.101919217
1300,3394.89957745,0.102303422
1310,3446.93095337,0.10274196
1320,3473.83923066,0.103221816
1330,3417.47392863,0.103659968
1340,3450.10346573,0.104047671
1350,3219.33216799,0.10451828
1360,3301.9252711,0.104965373
1370,3291.02178851,0.105402134
1380,3410.75429458,0.105817904
1390,3421.37443979,0.106244861
1400,3415.48352641,0.106660396
1410,3508.48217386,0.107037909
1420,3467.25276066,0.107422372
1430,3436.56568037,0.107800489
1440,3548.39576295,0.108176795
1450,3470.96069611,0.108549747
1460,3374.50552785,0.108968644
1470,3409.71771152,0.10937767
1480,3426.83298456,0.109912528
1490,3541.98157723,0.110449213
1500,3476.62796007,0.110946902
1510,3390.45252672,0.11139957
1520,3490.93691836,0.111817841
1530,3467.6143669,0.1122887
1540,3522.43016257,0.112773929
1550,3461.55779319,0.113317789
1560,3505.94846629,0.113803776
1570,3529.10039963,0.114173368
1580,3408.04293176,0.114572149
1590,3482.32796456,0.11508898
1600,3544.75130528,0.115551127
1610,3462.30467943,0.116005415
1620,3434.65220374,0.116429362
1630,3438.94061353,0.11684395
1640,3501.13223047,0.117260644
1650,3729.5228793,0.117712215
1660,3627.5371313,0.11812388
1670,3395.48808726,0.118525063
1680,3462.19279986,0.118926845
1690,3408.79142545,0.119327831
1700,3516.5239255,0.119741891
1710,3514.17254982,0.120194624
1720,3446.91310016,0.120657255
1730,3469.40187648,0.121126755
1740,3538.2007583,0.121547872
1750,3460.82411036,0.12195408
1760,3456.35248151,0.122367924
1770,3446.52229131,0.122784466
1780,3351.82374969,0.123207187
1790,3364.98282772,0.123635207
1800,3533.71769148,0.124045416
1810,3264.77003308,0.124441588
1820,3361.14361954,0.12513675
1830,3473.51291569,0.125565485
1840,3508.89585727,0.126096045
1850,3644.06483531,0.126752085
1860,3576.91782996,0.127237544
1870,3470.76005245,0.127705695
1880,3523.85088257,0.128165308
1890,3439.79631387,0.128626379
1900,3549.29742761,0.129109081
1910,3564.81702468,0.129595665
1920,3547.5306735,0.130092272
1930,3765.10414274,0.130845723
1940,3644.33933485,0.131370948
1950,3603.39198186,0.131764199
1960,3491.42195925,0.1321893
1970,3509.94709436,0.132553521
1980,3564.56087659,0.132969895
1990,3599.88899895,0.133357457
2000,3575.91585584,0.133750378
2010,3597.71841834,0.134162376
2020,3509.7696095,0.134558343
2030,3683.7177047,0.134955707
2040,3536.19338129,0.13537395
2050,3473.91027365,0.135792538
2060,3404.65758166,0.136262678
2070,3524.57343471,0.1367416
2080,3684.44268219,0.13726024
2090,3566.34648283,0.137690011
2100,3337.57239133,0.13812359
2110,3402.94463719,0.138561692
2120,3452.07145407,0.138992007
2130,3314.08986939,0.13942559
2140,3542.64094721,0.139890522
2150,3465.31156042,0.140341484
2160,3533.97641228,0.140771336
2170,3381.15151811,0.141217836
