iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.131479002766,0.131129657977,0.131614612625,0.582756183746,0.574335782928,0.575305291723,0.689197725837,0.682412484184,0.676541508784,0.142493704
1,0.179504423716,0.183106212357,0.176331929786,0.450318021201,0.448841153194,0.468113975577,0.0608548659744,0.0561471442401,0.0666666666667,0.317505649
2,0.102950728723,0.105896480424,0.102375122603,0.69554770318,0.68343697004,0.70013568521,0.759973256073,0.750445632799,0.758117475374,0.470056654
3,0.160184811715,0.161102051006,0.166004924015,0.542614840989,0.540418315432,0.522388059701,0.693966332514,0.692162059826,0.676470588235,0.622537457
4,0.130737448257,0.131726683709,0.136543501282,0.582332155477,0.574335782928,0.568521031208,0.684867228325,0.679983000425,0.668289290682,0.796735658
5,0.138810920904,0.138105098085,0.138611348663,0.55703180212,0.546071226682,0.553595658073,0.669060190074,0.660177740161,0.66070814713,0.945615279
6,0.139415114988,0.138753399603,0.139283742215,0.553780918728,0.542679479932,0.549977385798,0.66603194753,0.656767076793,0.656778199379,1.115935885
7,0.131720420477,0.129133433689,0.130642736666,0.554487632509,0.565291124929,0.556761646314,0.660856466538,0.672626649638,0.65322009908,1.273437937
8,0.152907457741,0.152112086613,0.15568867463,0.567349823322,0.568682871679,0.562189054726,0.70872585403,0.709996199164,0.700123915737,1.43762065
9,0.131262635824,0.129114957724,0.133361713464,0.525088339223,0.542114188807,0.517865219358,0.634066652146,0.6505608283,0.624647887324,1.589065771
10,0.10432599556,0.106969816437,0.104045326364,0.696113074205,0.67891464104,0.701492537313,0.758698092031,0.743913435528,0.756097560976,1.761554859
11,0.105650339622,0.100308945956,0.105227453058,0.670106007067,0.699830412663,0.674807779285,0.728415173377,0.754734411085,0.727548313755,1.941123471
12,0.112762183029,0.112617286339,0.113752975981,0.639858657244,0.641605426795,0.628674807779,0.647286821705,0.656926406926,0.6249428963,2.107278742
13,0.144952343283,0.144702968191,0.149921571822,0.560706713781,0.566421707179,0.55630936228,0.703604806409,0.708031975638,0.696190771137,2.270089397
14,0.110180066772,0.107442609906,0.112004452164,0.668127208481,0.67665347654,0.658073270014,0.748230752734,0.756180733163,0.733802816901,2.435452407
15,0.14360918146,0.142303591491,0.146056436508,0.603250883392,0.606557377049,0.596562641339,0.732793907663,0.73576309795,0.72125,2.598486699
16,0.102802103717,0.105681639164,0.102431163333,0.696113074205,0.67891464104,0.70013568521,0.758698092031,0.745519713262,0.756875687569,2.781082157
17,0.105997064186,0.102494238944,0.107491051346,0.670812720848,0.68343697004,0.663048394392,0.676212984846,0.69298245614,0.658726523133,2.938619435
18,0.104083084299,0.10719730483,0.10351825709,0.700212014134,0.679479932165,0.704658525554,0.760257714479,0.743786714867,0.758237689745,3.0736724
19,0.102418412474,0.100224432809,0.103374092617,0.686077738516,0.690785754664,0.687471732248,0.763093333333,0.766538625694,0.757458757459,3.249090083
20,0.102421967594,0.100222015948,0.103384283246,0.686360424028,0.690785754664,0.687924016282,0.763357150475,0.766737739872,0.757894736842,3.427973446
21,0.111841836498,0.110658032346,0.11346876269,0.661201413428,0.668174109666,0.647670737223,0.710402319681,0.717380837747,0.691240586603,3.607721627
22,0.0974771000495,0.0948522581166,0.100842714958,0.691307420495,0.708309779536,0.679330619629,0.758139534884,0.77308707124,0.740388136214,3.766385592
23,0.115249167103,0.11252915839,0.115744164187,0.634346289753,0.650084793669,0.630936227951,0.740599618971,0.750905432596,0.73350751143,3.910824109
24,0.101037321969,0.10312752814,0.100810199018,0.713639575972,0.691916336914,0.713704206242,0.7746886121,0.75723830735,0.769230769231,4.081381653
25,0.0998325255296,0.103478108095,0.100161577994,0.713215547703,0.706048615037,0.702849389417,0.716738796594,0.714285714286,0.702849389417,4.247175609
26,0.113205634051,0.109261872002,0.11276330868,0.635759717314,0.646127755794,0.636363636364,0.708714818583,0.718018018018,0.70044709389,4.41507847
27,0.136319795717,0.133807393062,0.139506924695,0.590530035336,0.5963821368,0.574400723654,0.725376812968,0.729750189251,0.710550599815,4.601928066
28,0.102998887546,0.103074734274,0.102302296724,0.683109540636,0.68004522329,0.679330619629,0.739241684113,0.740842490842,0.727202770296,4.755477443
29,0.110603993312,0.105506603147,0.112834895544,0.662614840989,0.681741096665,0.658525554048,0.726041547114,0.741149425287,0.715201810637,4.878627491
30,0.102961388044,0.105886163038,0.102451308145,0.700212014134,0.685698134539,0.702849389417,0.761605035405,0.75,0.758899082569,5.033541406
40,0.0757355413645,0.0747377676774,0.0774762769539,0.786996466431,0.795929903901,0.777928539123,0.833866166906,0.839626832519,0.823063063063,6.582990125
50,0.0955114454226,0.0964156159788,0.0969956217161,0.734840989399,0.733747880158,0.726368159204,0.760897272496,0.760305343511,0.745263157895,8.138554715
60,0.0919546800117,0.0919645939286,0.0910052456565,0.714770318021,0.720746184285,0.717322478517,0.702447655559,0.710093896714,0.691662555501,9.744171954
70,0.0674539604489,0.0682548201314,0.0689667569537,0.845653710247,0.830412662521,0.831298055179,0.864179104478,0.850894632207,0.84618556701,11.332862031
80,0.0582440708246,0.0595384251369,0.0612159662694,0.86332155477,0.854154889768,0.841700587969,0.88549437537,0.877492877493,0.863813229572,13.336330044
90,0.057551048189,0.0584893583655,0.0603163049404,0.875477031802,0.863764838892,0.857982813207,0.894377173001,0.885073915117,0.876959247649,15.001034119
100,0.0543978378674,0.0560093157459,0.0578774567119,0.873922261484,0.868852459016,0.854816824966,0.892035826676,0.88770571152,0.872365805169,16.819634705
110,0.0601312517305,0.0612811559656,0.0628749498421,0.86148409894,0.854720180893,0.847580280416,0.880575188886,0.873957822462,0.864604258738,18.663613041
120,0.0555433775655,0.0570500268424,0.0582712410617,0.872508833922,0.860938383267,0.859791949344,0.890983804689,0.880466472303,0.876099120703,20.360712215
130,0.0569676635579,0.0582813130984,0.0602231021867,0.867844522968,0.857546636518,0.850293984622,0.887390099964,0.878495660559,0.869221651521,22.03541694
140,0.0560900469447,0.0575906255028,0.0591209674123,0.872508833922,0.874505370266,0.857530529172,0.888696939783,0.889880952381,0.871899145994,23.5943953
150,0.0561622076037,0.0567557133781,0.0588825676941,0.881978798587,0.87959299039,0.868837630032,0.897734231476,0.895331695332,0.882495948136,25.114226542
160,0.0563680130683,0.0569184580791,0.0591914641574,0.876183745583,0.875070661391,0.855269109,0.893092506712,0.891825746451,0.871485943775,26.579276791
170,0.054960802391,0.0562955074912,0.0580674007574,0.880424028269,0.875635952516,0.858435097241,0.896068796069,0.891944990177,0.873739411053,28.197124545
180,0.0534852893778,0.055187648681,0.0563272677634,0.885512367491,0.872244205766,0.867933061963,0.900172541287,0.888007928642,0.880816326531,29.841665716
190,0.0529674577204,0.0547163551867,0.0553658929591,0.886219081272,0.874505370266,0.868385345997,0.899912967798,0.889552238806,0.880884158821,31.472715755
200,0.055163564322,0.0560797569514,0.0581869057787,0.873074204947,0.871113623516,0.856625961104,0.891807228916,0.889105058366,0.874554808073,32.981829143
210,0.0541729753163,0.0556384736503,0.0575574823096,0.878727915194,0.869417750141,0.858887381275,0.895238095238,0.887262079063,0.874799357945,34.513041721
220,0.0554587669415,0.0568946202739,0.0583175983447,0.875053003534,0.871678914641,0.858435097241,0.891213389121,0.88767936665,0.873535353535,36.202787063
230,0.0555358113167,0.05724538977,0.0590102512567,0.871660777385,0.861503674392,0.851650836725,0.889832564911,0.880662445202,0.869322709163,37.897586846
240,0.0556902933396,0.0564418113831,0.0584955531277,0.871943462898,0.869983041266,0.859791949344,0.890128547174,0.88813229572,0.876198083067,39.444473106
250,0.0593476883291,0.0609497654432,0.0633267715064,0.853851590106,0.84397964952,0.829941203076,0.878581493659,0.869441816462,0.855273287144,40.957164645
260,0.0561273516227,0.0575493044212,0.0592418252744,0.86628975265,0.861503674392,0.853459972863,0.886869170055,0.881699661999,0.87284144427,42.493682316
270,0.0558102259917,0.0572352295101,0.0587438052579,0.866996466431,0.863764838892,0.853459972863,0.884667238632,0.882036221243,0.869983948636,44.200544736
280,0.0534154911113,0.0548667996588,0.0564350540801,0.87406360424,0.864330130017,0.858435097241,0.892143808256,0.883720930233,0.875645609853,45.835571512
290,0.0531953442989,0.0547055393992,0.0558168203699,0.878303886926,0.870548332391,0.862053369516,0.893030190086,0.88635235732,0.875662454138,47.44294135
300,0.0549576732555,0.0564267331119,0.0581961892076,0.870671378092,0.867156585642,0.853007688829,0.889506098297,0.885977680738,0.870672502984,49.398491581
310,0.0500404202375,0.0514662717531,0.0528251295584,0.884946996466,0.872244205766,0.874717322479,0.900391581008,0.888888888889,0.88844140153,51.35307416
320,0.0538860557277,0.055432472789,0.0570713740488,0.874770318021,0.867721876767,0.855721393035,0.89315002412,0.886186770428,0.873060087545,53.221719838
330,0.0497551638589,0.0515048159132,0.0527044695417,0.886219081272,0.874505370266,0.8697421981,0.902906766373,0.892233009709,0.885258964143,55.062543236
340,0.0494419114551,0.0509633163252,0.0521369789916,0.888197879859,0.879027699265,0.879692446857,0.902932875199,0.894788593904,0.892394822006,56.897823002
350,0.049942692726,0.0513967174082,0.0525712179632,0.889045936396,0.87959299039,0.876074174582,0.901419063167,0.893125940793,0.886870355078,58.574735252
360,0.0498947294519,0.0515809274985,0.0521363233508,0.890600706714,0.87733182589,0.879692446857,0.901250318959,0.889002557545,0.888422818792,60.25349641
370,0.0533207772026,0.0546104915729,0.0552544195254,0.868975265018,0.862634256642,0.854816824966,0.878680800942,0.872172540768,0.861578266494,61.899137788
380,0.0482472837082,0.0500362110451,0.0506189252583,0.891024734982,0.88072357264,0.876074174582,0.903829362604,0.894235588972,0.887056883759,63.538038262
390,0.0500127915281,0.0521072254015,0.0527797820285,0.888763250883,0.873374788016,0.873360470375,0.900719061436,0.886524822695,0.883527454243,65.296057907
400,0.0495538184945,0.0515825902424,0.0527210946763,0.885512367491,0.879027699265,0.872003618272,0.899876390606,0.894581280788,0.885378695828,66.988853339
410,0.0497563730339,0.052021667565,0.0531868489072,0.888621908127,0.883550028265,0.869289914066,0.903549571603,0.899610136452,0.883982336411,68.656610194
420,0.0585383234233,0.0595330379686,0.0605050775255,0.848339222615,0.853024307518,0.845771144279,0.858834363899,0.864583333333,0.853585229712,70.261205866
430,0.0508426031624,0.0530643796183,0.053637267478,0.877879858657,0.872244205766,0.862957937585,0.889485801995,0.884339815763,0.872955974843,71.804899093
440,0.0512007314851,0.0529320548461,0.0539348674409,0.882261484099,0.876766534765,0.863410221619,0.895259650446,0.890672016048,0.875103391232,73.386171967
450,0.0559856781463,0.0572293548078,0.0610446082857,0.8525795053,0.84284906727,0.828132066938,0.878025961876,0.869606003752,0.854961832061,74.922211785
460,0.0512211151355,0.0533565094035,0.0545014979588,0.88,0.869983041266,0.863410221619,0.896953513776,0.8876953125,0.8792,76.530508493
470,0.0490538152753,0.050776924167,0.0516925722287,0.889045936396,0.88185415489,0.875621890547,0.900620331688,0.89417721519,0.885844748858,78.029917551
480,0.0508925962805,0.0526025531945,0.0538482598944,0.881554770318,0.874505370266,0.866123925825,0.895171378534,0.888888888889,0.878189300412,79.589514027
490,0.0503944994461,0.0527105987975,0.0532880115612,0.882120141343,0.872809496891,0.870194482135,0.897994129159,0.889543446244,0.884414015304,81.178908994
500,0.0536431877723,0.0556510117434,0.0556877696842,0.871943462898,0.863199547767,0.864314789688,0.884820747521,0.877157360406,0.875,82.784433696
510,0.0468367132535,0.048404775369,0.0494873536977,0.887632508834,0.87733182589,0.871099050204,0.900062853551,0.891337005508,0.882182720132,84.327485432
520,0.047596769968,0.049952101285,0.0500125734943,0.885653710247,0.869983041266,0.872455902307,0.899315494711,0.885799404171,0.883759274526,85.842847117
530,0.0472738094168,0.0493374320678,0.0499048852629,0.886501766784,0.87733182589,0.876074174582,0.900925354719,0.892414476946,0.887796887797,87.415978675
540,0.0475233049862,0.0498442994717,0.0500319730868,0.890035335689,0.877897117015,0.872908186341,0.90073998469,0.889683350358,0.882377563834,89.030990667
550,0.0459634823481,0.0485100739334,0.0490265798468,0.890459363958,0.879027699265,0.875621890547,0.903570984198,0.89332003988,0.88697081792,90.538192766
560,0.0462593244095,0.0486821342748,0.0491468647629,0.886925795053,0.87846240814,0.87381275441,0.90253411306,0.894865525672,0.887181560857,92.222173113
570,0.0471841308647,0.0496883762672,0.0501049029662,0.886360424028,0.87959299039,0.874265038444,0.899575318511,0.893446723362,0.88550247117,93.905894202
580,0.0473950593409,0.0497098424939,0.050213403802,0.88777385159,0.877897117015,0.872908186341,0.90233702337,0.893069306931,0.885259289506,95.553377189
590,0.0437934576732,0.0461303167314,0.0466977250936,0.893568904594,0.88072357264,0.877883310719,0.90508004538,0.893164556962,0.887966804979,97.169806234
600,0.0472365334519,0.0498602649519,0.0499602522247,0.885653710247,0.866591294517,0.871551334238,0.901641337386,0.885548011639,0.885668276973,98.743519557
610,0.0454255183554,0.0479949173798,0.0483393846159,0.891590106007,0.87846240814,0.879240162822,0.905924199681,0.894348894349,0.891419276129,100.255884834
620,0.0469940634382,0.0498028031597,0.0500471674755,0.887491166078,0.868287167891,0.876074174582,0.903233649404,0.887057682986,0.889782783588,101.765658924
630,0.045466525605,0.0478879226476,0.0481693411433,0.888197879859,0.87846240814,0.879692446857,0.903759581458,0.895580378825,0.892741935484,103.318045772
640,0.0450018164832,0.0475199253793,0.047495683491,0.893003533569,0.877897117015,0.882406151063,0.906577810687,0.893596059113,0.894136807818,104.833017729
650,0.0452347070138,0.0480991512418,0.0476633645009,0.887915194346,0.872244205766,0.875621890547,0.902110850512,0.888669950739,0.888256806176,106.464453379
660,0.0458748340232,0.0480178674496,0.0484257075811,0.89074204947,0.886376483889,0.885119855269,0.90472081844,0.900740740741,0.89674796748,108.012902832
670,0.0465046172659,0.0486514636418,0.0490180548331,0.888197879859,0.87620124364,0.874717322479,0.901994796184,0.891422905305,0.886242299795,109.511262172
680,0.0483441961608,0.0506553750963,0.0506519018075,0.88183745583,0.875070661391,0.874717322479,0.897398134512,0.891186607582,0.886707566462,111.093208507
