iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.14236766036,0.143147098054,0.144218017662,0.488197879859,0.484454494064,0.471732247852,0.634057604851,0.631067961165,0.61502966381,0.011440065
1,0.142335939218,0.143083317381,0.144170731439,0.487349823322,0.485019785189,0.470375395749,0.633228840125,0.63132335087,0.613658858463,0.031871641
2,0.142598036423,0.143306250298,0.144437416785,0.486360424028,0.483323911815,0.467209407508,0.63248381877,0.630258899676,0.61070720423,0.042741703
3,0.141464692135,0.142279188006,0.14335016176,0.484946996466,0.47936687394,0.466757123474,0.626639344262,0.62114356232,0.606080855329,0.052942829
4,0.142641556246,0.143742919729,0.144561860713,0.480848056537,0.476540418315,0.46540027137,0.622546500873,0.621112929624,0.605473965287,0.063881012
5,0.141351089904,0.142166814441,0.143215507399,0.48480565371,0.479932165065,0.467209407508,0.626038781163,0.620462046205,0.605227882038,0.076485151
6,0.141015351657,0.141925752518,0.142924114552,0.485088339223,0.483323911815,0.471279963817,0.624161766223,0.621061359867,0.60466689212,0.087834569
7,0.141326457394,0.142235447434,0.143297941263,0.483957597173,0.481062747315,0.469923111714,0.623258693633,0.619718309859,0.60351826793,0.098610884
8,0.141573584327,0.142408761241,0.143322224362,0.480282685512,0.478801582815,0.466304839439,0.617656233753,0.61551292744,0.596994535519,0.108796654
9,0.141053438052,0.141953022497,0.142938500425,0.484381625442,0.48275862069,0.471279963817,0.623529411765,0.62080397845,0.60466689212,0.119363514
10,0.140897059126,0.14180921797,0.142808765852,0.485229681979,0.48388920294,0.473089099955,0.624768184628,0.621632822213,0.607347489046,0.129990665
11,0.141006930592,0.142038855419,0.142812176742,0.483392226148,0.484454494064,0.473541383989,0.620575106405,0.62,0.604081632653,0.145433201
12,0.140492035347,0.141337351167,0.142409925927,0.486784452297,0.484454494064,0.474445952058,0.626324997427,0.623451692816,0.607962213225,0.161526188
13,0.140203686518,0.141065596117,0.14194734549,0.479858657244,0.477671000565,0.467661691542,0.613769941226,0.612416107383,0.593997930321,0.205278016
14,0.141076150144,0.14175992733,0.142423204199,0.472367491166,0.464104013567,0.467209407508,0.596388798789,0.589965397924,0.581676136364,0.237290441
15,0.140716727233,0.141707262993,0.142403300276,0.479010600707,0.473713962691,0.467209407508,0.610112121853,0.608329827514,0.590403337969,0.248136151
16,0.139209882269,0.140068545755,0.141042469155,0.483250883392,0.478801582815,0.470375395749,0.616369359916,0.613255033557,0.59578874698,0.264635137
17,0.13872005211,0.139578193314,0.140557020055,0.486784452297,0.478801582815,0.474445952058,0.617668737496,0.611952861953,0.597366597367,0.283711478
18,0.13873811975,0.139595237282,0.140570837012,0.486360424028,0.47823629169,0.474445952058,0.61723193596,0.611368421053,0.597087378641,0.294168393
19,0.138024730656,0.139007120583,0.1402475522,0.493568904594,0.489542114189,0.478516508367,0.625405122844,0.623906705539,0.605001712915,0.309411719
20,0.137957286153,0.138865589958,0.140298691751,0.492155477032,0.487846240814,0.474898236092,0.623730233532,0.621869782972,0.601441812564,0.332047091
21,0.137921857259,0.138831655737,0.140264298191,0.492155477032,0.487846240814,0.474898236092,0.623730233532,0.621869782972,0.601441812564,0.350792058
22,0.137227074867,0.138191549326,0.139626007156,0.495265017668,0.488411531939,0.47987336047,0.626815759222,0.622129436326,0.605894448252,0.37013409
23,0.136740396895,0.137570133945,0.139040428375,0.499505300353,0.495195025438,0.487562189055,0.630105505066,0.628381190179,0.610786671247,0.381250801
24,0.137476546138,0.138237145048,0.139824915244,0.506572438163,0.505370265687,0.489371325192,0.643156495962,0.643584521385,0.623289956623,0.401002978
25,0.136656850897,0.137501011128,0.138991059775,0.499081272085,0.495760316563,0.486657620986,0.630294179011,0.628642797669,0.611700307903,0.416623269
26,0.138170900943,0.139012962551,0.140456603784,0.490600706714,0.490672696439,0.478064224333,0.624817822194,0.624739691795,0.606680299932,0.432729085
27,0.135964364311,0.136865856636,0.137818077151,0.494982332155,0.488411531939,0.487562189055,0.613604412242,0.609745579991,0.599788060756,0.451957372
28,0.135932348116,0.136825680786,0.137773324581,0.494699646643,0.486150367439,0.486657620986,0.612466124661,0.607003891051,0.597660404112,0.464151326
29,0.137414430455,0.138381483219,0.139010654627,0.486360424028,0.47710570944,0.477159656264,0.597919893782,0.593406593407,0.580855692531,0.474944782
30,0.135718782826,0.136596594433,0.137591891999,0.495265017668,0.488411531939,0.48394391678,0.613987677008,0.610417563495,0.59724673491,0.485869546
40,0.134976106034,0.135960062017,0.136783631048,0.502897526502,0.493499152063,0.486657620986,0.61650855959,0.61144839549,0.595941616234,0.649287167
50,0.134433510968,0.135523023083,0.136538913745,0.504876325088,0.499717354438,0.488014473089,0.627221453655,0.624841034337,0.606397774687,0.767802299
