iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.148125556924,0.147469870579,0.145113249179,0.519293286219,0.528547201809,0.528267752148,0.433072178696,0.442513368984,0.442544094067,0.009676074
1,0.148125556924,0.147469870579,0.145113249179,0.519293286219,0.528547201809,0.528267752148,0.433072178696,0.442513368984,0.442544094067,0.02314133
2,0.147030336263,0.146282085978,0.144350189494,0.518727915194,0.52176370831,0.531886024423,0.447688564477,0.447780678851,0.458398744113,0.033071424
3,0.147030336263,0.146282085978,0.144350189494,0.518727915194,0.52176370831,0.531886024423,0.447688564477,0.447780678851,0.458398744113,0.04446856
4,0.146875886681,0.146120021509,0.144235146069,0.519434628975,0.522328999435,0.533242876526,0.450371807307,0.45165476963,0.461939520334,0.058603426
5,0.14686790179,0.146112560096,0.14422795821,0.519434628975,0.522328999435,0.533242876526,0.450371807307,0.45165476963,0.461939520334,0.068382662
6,0.149276936701,0.148574361073,0.146427606687,0.522826855124,0.526286037309,0.528267752148,0.431458403503,0.433783783784,0.437735849057,0.077959839
7,0.148315293472,0.147568211634,0.145727396112,0.521413427562,0.52176370831,0.53052917232,0.442174629325,0.443421052632,0.450211864407,0.092097179
8,0.147915887736,0.147186246329,0.145353529611,0.523392226148,0.524024872809,0.534147444595,0.446487196323,0.446052631579,0.456751054852,0.101758775
9,0.147908320878,0.147178742452,0.145347023644,0.523674911661,0.524024872809,0.534147444595,0.446997046275,0.446052631579,0.457323498419,0.116738965
10,0.14797430491,0.147277137326,0.145410048744,0.522685512367,0.52289429056,0.534147444595,0.444481000165,0.444736842105,0.456177402323,0.12772858
11,0.14797430491,0.147277137326,0.145410048744,0.522685512367,0.52289429056,0.534147444595,0.444481000165,0.444736842105,0.456177402323,0.138043931
12,0.147799374699,0.147496354128,0.145519133096,0.519575971731,0.522328999435,0.526910900045,0.444698578664,0.448793215917,0.452356020942,0.149446305
13,0.147893399851,0.147575554329,0.14559600443,0.52,0.522328999435,0.526006331976,0.444735120994,0.448793215917,0.450733752621,0.160781354
14,0.147688436196,0.147331183716,0.145421859464,0.520706713781,0.523459581685,0.526458616011,0.445824481124,0.448659254415,0.450970110121,0.173810424
15,0.146949420424,0.146406114743,0.14483959674,0.521978798587,0.52289429056,0.526458616011,0.450974025974,0.448366013072,0.45440333507,0.185208518
16,0.147643305973,0.147069185813,0.145644765995,0.519575971731,0.524590163934,0.524649479873,0.446867371847,0.4514024788,0.450601150026,0.198871744
17,0.150581516945,0.149995262301,0.148461412841,0.510247349823,0.515545505936,0.517412935323,0.433731001798,0.4395029431,0.442237323576,0.21143142
18,0.150576898024,0.149994291824,0.148462464567,0.510106007067,0.515545505936,0.517412935323,0.433474991827,0.4395029431,0.442237323576,0.222210948
19,0.150686958443,0.150102660758,0.148569104035,0.511519434629,0.515545505936,0.517865219358,0.433999344907,0.438768827767,0.442468619247,0.233696108
20,0.148985291984,0.148676217347,0.147170398625,0.508268551237,0.516676088185,0.511080958842,0.45203969129,0.454371410338,0.453764527539,0.245494531
21,0.14904436622,0.148727393109,0.147221032484,0.508268551237,0.516676088185,0.511533242877,0.45203969129,0.454371410338,0.453993933266,0.256469358
22,0.148444461394,0.148142065431,0.146709387744,0.509540636042,0.516676088185,0.511985526911,0.453887315077,0.453674121406,0.455325593135,0.269860645
23,0.148462597695,0.14816154447,0.146729926012,0.50925795053,0.516676088185,0.511985526911,0.453400503778,0.453674121406,0.455325593135,0.281315493
24,0.1491042531,0.148848214984,0.147276869604,0.508692579505,0.515545505936,0.511080958842,0.450347881088,0.450992953235,0.452103395844,0.293359122
25,0.149231488112,0.149015976487,0.147365719063,0.508268551237,0.51724137931,0.513342379014,0.447865418188,0.451156812339,0.451580020387,0.306157622
26,0.148001481107,0.148110244749,0.145928325725,0.504876325088,0.51837196156,0.514246947083,0.462152617841,0.472772277228,0.473012757605,0.318603589
27,0.147944584527,0.148063377189,0.145888503378,0.505441696113,0.52063312606,0.514699231117,0.463590372528,0.475896168109,0.474791972589,0.330049196
28,0.147967874277,0.148089679006,0.145897881387,0.506007067138,0.521198417185,0.515151515152,0.464531944232,0.476837554046,0.47553816047,0.341035768
29,0.147967874277,0.148089679006,0.145897881387,0.506007067138,0.521198417185,0.515151515152,0.464531944232,0.476837554046,0.47553816047,0.351465331
30,0.147932360068,0.148077667034,0.145860916259,0.505441696113,0.520067834935,0.515603799186,0.464575363428,0.476249228871,0.477306002928,0.363598851
40,0.14559184207,0.14592375637,0.143086742321,0.51222614841,0.525155455059,0.530981456355,0.471435135549,0.480840543881,0.488910793494,0.477904425
50,0.145307107652,0.145709780958,0.14279877046,0.511802120141,0.525720746184,0.527815468114,0.470082847499,0.481778875849,0.484698914116,0.582648024
60,0.139430107276,0.14029717379,0.137208263833,0.535971731449,0.527981910684,0.545906829489,0.525234996385,0.51481696688,0.532152842498,0.691010826
70,0.138930422605,0.139133360329,0.136514862937,0.539363957597,0.542679479932,0.550429669833,0.520523760483,0.518165574747,0.526666666667,0.795665692
80,0.138551113683,0.138834501472,0.136075501819,0.538091872792,0.540983606557,0.551786521936,0.518278301887,0.514354066986,0.52606408417,0.909743683
90,0.137307199942,0.137310241804,0.134810142343,0.538233215548,0.541548897682,0.557666214383,0.536003408607,0.536306460835,0.548476454294,1.010234156
100,0.135859428413,0.135832113478,0.133467752387,0.542190812721,0.551158846806,0.560832202623,0.540502198893,0.545246277205,0.551086453999,1.125264324
110,0.133222958887,0.133172521469,0.131486966965,0.553780918728,0.55963821368,0.572139303483,0.570183798502,0.573150684932,0.580301685892,1.226127384
120,0.132389114334,0.132562965242,0.130541597239,0.558303886926,0.563595251555,0.578923563998,0.576041242708,0.578142076503,0.587505538325,1.353595012
130,0.131693759188,0.131803700697,0.130093734386,0.559575971731,0.559072922555,0.574400723654,0.587175410705,0.582887700535,0.593169044531,1.461664067
140,0.130112990236,0.130038393471,0.128728909538,0.559858657244,0.56076879593,0.569425599276,0.59262166405,0.589106292967,0.59385665529,1.57307335
150,0.12953885863,0.129192148545,0.128655862161,0.562261484099,0.568117580554,0.57394843962,0.593195849205,0.593184238552,0.596401028278,1.685393063
160,0.129208168645,0.128866476429,0.128237540379,0.563250883392,0.566421707179,0.576662143826,0.591377942343,0.59136920618,0.596551724138,1.787434932
170,0.128752649247,0.128326974131,0.128028137601,0.565088339223,0.566986998304,0.572591587517,0.603223726628,0.601456815817,0.603441040705,1.90228291
180,0.128494058038,0.127971996639,0.127904101882,0.569752650177,0.562464669305,0.574853007689,0.611536498213,0.601030927835,0.608006672227,1.999434608
190,0.126982834481,0.12669906709,0.126507022536,0.585441696113,0.577727529678,0.594301221167,0.620618290001,0.612350804359,0.621359223301,2.113270044
200,0.124810062359,0.124766892771,0.124306732571,0.592791519435,0.585076314302,0.594753505201,0.635177915664,0.626272912424,0.629752066116,2.223463247
210,0.124597322453,0.124364265535,0.124021073517,0.59519434629,0.594120972301,0.60289461782,0.633853234467,0.631416837782,0.633861551293,2.326366566
220,0.123749788826,0.123402066562,0.123736701635,0.592084805654,0.592990390051,0.589326096789,0.64684287812,0.647404505387,0.638535031847,2.432072195
230,0.123647303602,0.123165708672,0.123742012668,0.595477031802,0.593555681176,0.592492085029,0.649178720275,0.64633546483,0.640031961646,2.528460973
240,0.123015084222,0.122885335023,0.123308465766,0.593922261484,0.594686263426,0.591135232926,0.653144995774,0.654124457308,0.645211930926,2.633488465
