iterations,fitness,time,fevals
0,277.0,0.002590143,802
10,277.0,0.004898702,1494
20,277.0,0.006602749,2186
30,277.0,0.008120097,2885
40,284.0,0.009629472,3587
50,285.0,0.01116769,4283
60,287.0,0.012608269,4995
70,286.0,0.014030616,5708
80,289.0,0.015499468,6399
90,290.0,0.016895167,7107
100,294.0,0.018305048,7822
110,299.0,0.019678185,8522
120,297.0,0.02118548,9227
130,296.0,0.023200004,9912
140,297.0,0.025767733,10604
150,297.0,0.028150178,11301
160,300.0,0.029334271,12000
170,298.0,0.030578413,12689
180,302.0,0.032370728,13388
190,302.0,0.034133678,14088
200,304.0,0.035801525,14793
210,304.0,0.037642942,15495
220,302.0,0.039483895,16190
230,304.0,0.041303315,16898
240,302.0,0.043109626,17595
250,298.0,0.044978847,18286
260,300.0,0.046791395,18971
270,298.0,0.048621002,19671
280,298.0,0.050574624,20374
290,304.0,0.052765104,21068
300,300.0,0.055344602,21768
310,300.0,0.056647566,22453
320,304.0,0.05786483,23155
330,302.0,0.059046427,23852
340,302.0,0.060235292,24541
350,304.0,0.061418339,25227
360,310.0,0.062586631,25931
370,302.0,0.063884281,26626
380,300.0,0.065379888,27333
390,302.0,0.067112095,28023
400,299.0,0.06887422,28727
410,300.0,0.070376632,29430
420,301.0,0.071588153,30117
430,306.0,0.072781661,30797
440,302.0,0.073946115,31505
450,304.0,0.075458782,32199
460,306.0,0.076727596,32913
470,305.0,0.078148113,33615
480,308.0,0.079793082,34326
490,306.0,0.081911294,35049
500,314.0,0.083735888,35746
510,302.0,0.085289363,36446
520,308.0,0.086449187,37144
530,308.0,0.087613309,37834
540,312.0,0.088965028,38536
550,306.0,0.090132723,39229
560,302.0,0.091296344,39924
570,300.0,0.092476004,40622
580,300.0,0.093610914,41309
590,302.0,0.094891665,42011
600,302.0,0.09612361,42708
610,302.0,0.097322402,43419
620,302.0,0.098514814,44121
630,304.0,0.099874759,44829
640,312.0,0.101466862,45519
650,310.0,0.103145136,46224
660,306.0,0.10523647,46908
670,308.0,0.107036122,47607
680,308.0,0.108434872,48303
690,308.0,0.109857399,49005
700,304.0,0.111451486,49708
710,306.0,0.112635653,50393
720,306.0,0.114077027,51084
730,306.0,0.115537544,51778
740,302.0,0.117170586,52462
750,304.0,0.118908736,53144
760,312.0,0.121122946,53836
770,304.0,0.122635106,54538
780,306.0,0.124282362,55248
790,308.0,0.126051859,55948
800,308.0,0.127634382,56646
810,304.0,0.129259188,57341
820,298.0,0.130887784,58039
830,300.0,0.132644929,58738
840,298.0,0.134279161,59437
850,296.0,0.136041052,60149
860,294.0,0.138192759,60854
870,296.0,0.140349581,61549
880,298.0,0.142422475,62234
890,304.0,0.143774012,62917
900,308.0,0.145162972,63616
910,304.0,0.146456361,64293
920,302.0,0.14783279,64987
930,308.0,0.149273546,65686
940,304.0,0.150700224,66378
950,302.0,0.152165908,67072
960,300.0,0.15374412,67773
970,306.0,0.15531241,68470
980,304.0,0.157479021,69165
990,306.0,0.158979871,69862
1000,308.0,0.160249951,70561
1010,312.0,0.161505594,71252
1020,304.0,0.16290393,71950
1030,308.0,0.164334063,72650
1040,310.0,0.165794915,73361
1050,306.0,0.167566907,74065
1060,304.0,0.169439471,74755
1070,306.0,0.171687721,75464
1080,306.0,0.173363926,76169
1090,306.0,0.174979958,76877
1100,312.0,0.176598774,77583
1110,308.0,0.178273945,78284
