iterations,fitness,time,fevals
0,0.0353313784432,1.10440000003e-05,11
10,0.0388806212674,2.09210000004e-05,21
20,0.0403054707864,3.0449e-05,31
30,0.042044906557,4.02560000001e-05,41
40,0.0477081256114,5.06770000004e-05,51
50,0.0478376754378,6.28040000001e-05,61
60,0.0484763424123,7.51119999998e-05,71
70,0.0491929351668,8.68679999999e-05,81
80,0.0497427713558,9.8355e-05,91
90,0.0502587694436,0.000111303,101
100,0.0504850552641,0.000124710000001,111
110,0.0517715706353,0.000136316,121
120,0.0543998416373,0.000148607,131
130,0.0549942847722,0.000160927,141
140,0.0550263096457,0.000174329,151
150,0.0552735546681,0.000186091000001,161
160,0.0555644984276,0.000199936,171
170,0.0584992855473,0.000211011000001,181
180,0.0595487615955,0.000223466,191
190,0.0596027297146,0.000235337,201
200,0.0603312498974,0.000249649000001,211
210,0.0603312498974,0.000262666000001,221
220,0.0628578751148,0.000274924000001,231
230,0.0628578751148,0.000287617000001,241
240,0.0635898441663,0.000299742000001,251
250,0.0649938359065,0.000311491000001,261
260,0.0650505905595,0.000323283000001,271
270,0.0650505905595,0.000335415000001,281
280,0.0650505905595,0.000347302000001,291
290,0.0651990506851,0.000358821000001,301
300,0.0661735804482,0.000370337000001,311
310,0.0663483567827,0.000382291000001,321
320,0.0663483567827,0.000394583000001,331
330,0.0663483567827,0.000407128000001,341
340,0.0668466952318,0.000418618000001,351
350,0.0668466952318,0.000430713000001,361
360,0.0668466952318,0.000443842000001,371
370,0.0672500705719,0.000455403000001,381
380,0.0672500705719,0.000467516000001,391
390,0.0695861792088,0.000478876000001,401
400,0.0697030180907,0.000489993000001,411
410,0.0701496458782,0.000502282000001,421
420,0.0701496458782,0.000515455000001,431
430,0.0701496458782,0.000528208000001,441
440,0.0701895053179,0.000540153000001,451
450,0.0701895053179,0.000552767000001,461
460,0.0701895053179,0.000565243000001,471
470,0.0701895053179,0.000577968000001,481
480,0.0701895053179,0.000590608000001,491
490,0.0701895053179,0.000604747000001,501
